pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,orbital_period_days,semi_major_axis_au,planet_radius_re,pl_radj,planet_mass_me,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,planet_eq_temp_k,ttv_flag,st_refname,st_spectype,star_temp_k,st_rad,st_mass,star_metallicity,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,system_distance_pc,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
HD 233604 b,HD 233604,1,1,1,Radial Velocity,2013,McDonald Observatory,Published Confirmed,0,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,192.0,0.747,,,2089.644,6.575,Msini,0.05,,,0.0,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,K5,4791.0,10.9,1.5,-0.36,[Fe/H],2.55,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h09m48.84s,137.4535054,+53d34m05.53s,53.5682016,847.058,10.291,7.979,10.1054,2014-05-14,2013-06,2014-05-14
GU Psc b,GU Psc,1,1,1,Imaging,2014,Gemini Observatory,Published Confirmed,0,<a refstr=NAUD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref> Naud et al. 2014 </a>,,2000.0,14.179,1.265,3591.3,11.3,Mass,,,1050.0,0.0,<a refstr=NAUD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref> Naud et al. 2014 </a>,M3,,,0.325,0.1,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h12m35.16s,18.146485,+17d03m54.01s,17.0650029,47.5501,14.146,9.345,12.9656,2014-05-14,2014-05,2014-05-14
Kepler-38 b,Kepler-38,1,2,1,Transit,2012,Kepler,Published Confirmed,0,<a refstr=OROSZ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...758...87O/abstract target=ref> Orosz et al. 2012 </a>,105.599,0.4632,4.3,0.384,122.0,0.384,Mass,0.032,,475.0,0.0,<a refstr=OROSZ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...758...87O/abstract target=ref> Orosz et al. 2012 </a>,G4 V,5623.0,1.752,0.941,-0.11,[M/H],3.926,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m19.27s,286.830312,+42d16m44.92s,42.2791434,1174.59,14.015,12.342,13.9066,2014-05-14,2012-10,2014-05-14
HD 208527 b,HD 208527,1,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,Published Confirmed,0,<a refstr=LEE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A...2L/abstract target=ref> Lee et al. 2013 </a>,875.5,2.1,,,3146.4,9.9,Msini,0.08,,,0.0,<a refstr=LEE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A...2L/abstract target=ref> Lee et al. 2013 </a>,M1 III,4035.0,51.1,1.6,-0.09,[Fe/H],1.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h56m23.99s,329.0999413,+21d14m23.72s,21.239922,312.202,6.38984,2.224,5.61607,2014-05-14,2013-01,2014-05-14
CT Cha b,CT Cha,1,1,1,Imaging,2007,Paranal Observatory,Published Confirmed,0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,440.0,24.66,2.2,5403.0,17.0,Mass,,,2600.0,0.0,<a refstr=SCHMIDT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref> Schmidt et al. 2008 </a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.72,12.335,8.661,11.7733,2014-05-14,2008-11,2014-05-14
HIP 63242 b,HIP 63242,1,1,1,Radial Velocity,2013,Multiple Observatories,Published Confirmed,0,<a refstr=JONES_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A..78J/abstract target=ref> Jones et al. 2013 </a>,124.6,0.565,,,2917.56,9.18,Msini,0.23,,,0.0,<a refstr=JONES_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A..78J/abstract target=ref> Jones et al. 2013 </a>,G8,4830.0,,1.54,-0.31,[Fe/H],2.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h57m31.80s,194.3824825,-65d38m46.77s,-65.6463263,156.456,6.86,4.406,6.56453,2014-05-14,2013-08,2014-05-14
HD 221287 b,HD 221287,1,1,1,Radial Velocity,2007,La Silla Observatory,Published Confirmed,0,<a refstr=NAEF_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...470..721N/abstract target=ref> Naef et al. 2007 </a>,456.1,1.25,,,982.05,3.09,Msini,0.08,,,0.0,<a refstr=NAEF_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...470..721N/abstract target=ref> Naef et al. 2007 </a>,,6304.0,,1.25,-0.03,[Fe/H],4.43,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m20.69s,352.836223,-58d12m35.11s,-58.209754,55.9231,7.82,6.569,7.68153,2014-05-14,2007-08,2014-05-14
Kepler-34 b,Kepler-34,1,2,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=WELSH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.481..475W/abstract target=ref> Welsh et al. 2012 </a>,288.822,1.0896,8.564,0.764,69.92,0.22,Mass,0.182,,,1.0,<a refstr=WELSH_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.481..475W/abstract target=ref> Welsh et al. 2012 </a>,,5913.0,1.1618,1.0479,-0.07,[M/H],4.3284,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m44.59s,296.4358022,+44d38m29.53s,44.6415369,1800.82,15.087,13.238,14.8297,2014-05-14,2012-01,2014-05-14
KOI-55 b,KOI-55,1,1,2,Orbital Brightness Modulation,2011,Kepler,Published Confirmed,1,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,0.240104,0.006,0.759,0.0677,0.44,0.0014,Mass,,,,0.0,<a refstr=CHARPINET_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011Natur.480..496C/abstract target=ref> Charpinet et al. 2011 </a>,B,27730.0,0.203,0.496,,,5.52,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m25.48s,296.3561853,+41d05m33.83s,41.0927315,1231.02,15.154,15.495,14.9062,2014-05-14,2011-12,2014-05-14
GJ 674 b,GJ 674,1,1,1,Radial Velocity,2007,La Silla Observatory,Published Confirmed,0,<a refstr=BONFILS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...474..293B/abstract target=ref> Bonfils et al. 2007 </a>,4.6938,0.039,,,11.09,0.035,Msini,0.2,,,0.0,<a refstr=BONFILS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...474..293B/abstract target=ref> Bonfils et al. 2007 </a>,M2.5,3600.0,,0.35,-0.28,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h28m40.81s,262.1700476,-46d53m56.34s,-46.8989826,4.54896,9.38,4.855,8.33063,2014-05-14,2007-10,2014-05-14
